listingId,title,winning_bid_amount,bidder_count,winning_bid_time,unit_count,price_per_unit,image_url,sku,grade,manifest_models,manifest_capacities,manifest_colors,manifest_part_numbers,clean_model
190732,Samsung Cell Phones - Galaxy S23 FE - 50 Units - Grade A+(T) - AT034752,"$16,850",7 bidders,"Apr 9, 2024 11:26:30 AM PDT",50.0,337.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys23fe_39.jpg,AT034752,Grade A+(T),SMS711U,,Gray,"A859D, U859D",Samsung Galaxy S23 Fe
190761,Samsung Cell Phones - Galaxy S24 Ultra - 28 Units - Grade AA+(T) - CT0059209A,"$25,300",6 bidders,"Apr 11, 2024 10:52:17 AM PDT",28.0,903.57,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys24ultra_6.jpg,CT0059209A,Grade AA+(T),SAM GS24U,,"VIO, YEL, GRY, BLK","U070E, U068E, U066E, U071E, U067E, U069E, U073E",Samsung Galaxy S24 Ultra
190741,Samsung Cell Phones - Galaxy A52 5G - 25 Units - Grade B+(T) - AT034768,"$2,626",8 bidders,"Apr 9, 2024 12:07:25 PM PDT",25.0,105.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxya525g_523.jpg,AT034768,Grade B+(T),SMA526U,,black,"E963C, A963C, U963C, S963C, J963C",Samsung Galaxy A52
190751,Apple Cell Phones - iPhone X - 38 Units - Grade B+(T) - CT0059177A,"$3,885",6 bidders,"Apr 11, 2024 10:35:06 AM PDT",38.0,102.24,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4494.jpg,CT0059177A,Grade B+(T),IPH X,"256GB, 64GB","SGY, SLV","S173B, J175B, S172B, J173B, J172B, A175B, U174B, J174B, S174B",Iphone X
190723,"Samsung Cell Phones - Galaxy S21 FE 5G, 128GB - 50 Units - Grade B+(T) - AT034643","$7,426",8 bidders,"Apr 9, 2024 11:35:09 AM PDT",50.0,148.52,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys21fe5g_438.jpg,AT034643,Grade B+(T),"SMG990U2, SMG990U",128GB,"Graphite, lavender, green","S034D, A036D, S035D, E034D, E430D, A430D, A034D, U034D",Samsung Galaxy S21 Fe
190733,"Samsung Cell Phones - Galaxy S24+, 256GB - 25 Units - Grade B+(T) - AT034644","$12,800",3 bidders,"Apr 9, 2024 10:25:08 AM PDT",25.0,512.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys24plus_3.jpg,AT034644,Grade B+(T),SMS926U,256GB,"black, violet, Gray, yellow","U065E, U059E, U064E, U057E",Samsung Galaxy S24
190762,"Apple Cell Phones - iPhone 14 Pro Max, 256GB - 155 Units - Grade B+(T) - CT0059014A","$107,759",7 bidders,"Apr 11, 2024 10:46:00 AM PDT",155.0,695.22,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_706.jpg,CT0059014A,Grade B+(T),IPH 14PM,256GB,"GLD, PUR, SLV, BLK","J531D, J534D, J532D, A531D, A532D, S531D, E534D, J533D, A534D",iPhone 14 Pro Max
190800,Apple Cell Phones - iPhone 12 Pro - 48 Units - Grade B+(T) - CT0059145A,"$14,450",8 bidders,"Apr 11, 2024 10:33:52 AM PDT",48.0,301.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12pro_2117.jpg,CT0059145A,Grade B+(T),IPH 12P,"512GB, 256GB, 128GB","BLU, GPH, GLD, SLV","A874C, A879C, A876C, S878C, J873C, J876C, A873C, J875C, A881C, J874C, A877C, S880C, A880C, J880C, J877C",iPhone 12 Pro
190752,Apple Cell Phones - iPhone 11 Pro Max - 15 Units - Grade A+(T) - CT0059307A,"$5,045",7 bidders,"Apr 11, 2024 10:48:46 AM PDT",15.0,336.33,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11promax_4163.jpg,CT0059307A,Grade A+(T),"IPH 11 PRO MAX, IPH 11PM","512GB, 64GB, 256GB","GLD, SGY, GRN, SLV","J141C, A128C, J155C, J142C, A158C, S129C, S128C, J143C",iPhone 11 Pro Max
190742,"Apple Cell Phones - iPhone 12 Pro, 128GB - 50 Units - Grade B+(T) - AT034695","$15,170",9 bidders,"Apr 9, 2024 10:12:39 AM PDT",50.0,303.4,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12pro_2116.jpg,AT034695,Grade B+(T),IPH 12P,128GB,"silver, Graphite, gold, blue","A874C, A876C, S874C, J876C, A873C, E873C, S875C, A875C, J874C, S876C",iPhone 12 Pro
190724,Sonim Cell Phones - XP3 Plus - 25 Units - Grade B+(T) - AT034772,$775,2 bidders,"Apr 9, 2024 11:32:51 AM PDT",25.0,31.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sonimxp3plus_51.jpg,AT034772,Grade B+(T),XP3900,,black,"A720D, U720D",Sonim Cell Phones Xp3 Plus
190810,Apple Cell Phones - iPhone 15 Pro - 35 Units - Grade A+(T) - CT0059190A,"$28,400",10 bidders,"Apr 11, 2024 10:38:53 AM PDT",35.0,811.43,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_109.jpg,CT0059190A,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB","BLU, NAT, WHT, BLK","U900D, U894D, U893D, U898D, U896D, A901D, U895D",iPhone 15 Pro
190734,"Apple Tablets - iPad Gen 10, 64GB - 25 Units - Grade AA+(T) - AT034688","$8,747",7 bidders,"Apr 9, 2024 12:35:12 PM PDT",25.0,349.88,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/ipadgen10_186.jpg,AT034688,Grade AA+(T),IPAD IPAD 10GN,64GB,"Yellow, Blue, Pink, Silver","U699D, U696D, U697D, U698D","Apple Tablets Ipad Gen 10,"
190753,Samsung Cell Phones - Galaxy Z Flip4 5G - 18 Units - Grade A+(T) - CT0059288A,"$3,901",11 bidders,"Apr 11, 2024 11:21:38 AM PDT",18.0,216.72,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxyzflip4_378.jpg,CT0059288A,Grade A+(T),"SAM FLIP4 128 SMF721U PUR, SAM FLIP4, TRN SAM FLIP4 128 SMF721U PUR",,"BLU, PUR, GPH","S436D, J436D, J437D, A438D, S437D, J441D, U437D, U443D, A437D, A441D, E438D, J438D",Samsung Galaxy Z Flip4
190743,"Google Cell Phones - Pixel 8, 128GB - 25 Units - Grade AA+(T) - AT034800","$9,900",5 bidders,"Apr 9, 2024 12:23:25 PM PDT",25.0,396.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/i/pixel8_32.jpg,AT034800,Grade AA+(T),PIXEL 8,128GB,"black, gray","U850D, A850D, U851D, D850D",Google Pixel 8
190782,Apple Cell Phones - iPhone 11 - 47 Units - Grade A+(T) - CT0059153A,"$9,250",9 bidders,"Apr 11, 2024 11:08:44 AM PDT",47.0,196.81,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4624.jpg,CT0059153A,Grade A+(T),"IPHN 11, IPH 11","64GB, 256GB, 128GB","PUR, BLK, RED, GRN, WHT","J830C, A837C, A826C, A827C, J138C, J156C, J145C, J152C, J826C, A830C, J136C, J140C, J153C, J154C, J827C, J838C, A153C, J134C, J135C, J831C, A831C, J167C, J828C",iPhone 11
190820,Samsung Cell Phones - Galaxy A51 5G - 18 Units - Grade A+(T) - CT0059283A,"$1,750",4 bidders,"Apr 11, 2024 11:21:59 AM PDT",18.0,97.22,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxya515g_509.jpg,CT0059283A,Grade A+(T),"SAM GAL A51 5, SAM A15",,"BLU, BLK","J499C, J040E, U040E",Samsung Galaxy A51
190811,"Apple Cell Phones - iPhone 12, 128GB - 100 Units - Grade B+(T) - CT0059041A","$24,300",9 bidders,"Apr 11, 2024 11:16:55 AM PDT",100.0,243.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12_3074.jpg,CT0059041A,Grade B+(T),IPH 12,128GB,"PUR, BLK, RED, BLU, GRN, WHT","J866C, J863C, S865C, E866C, E007D, A865C, S864C, A867C, J865C, A866C, S866C, A864C, E865C, S863C, A007D, J864C, A863C",iPhone 12
190735,Samsung Tablets - Galaxy Tab S9 FE 5G - 40 Units - Grade A+(T) - AT034685,"$12,059",8 bidders,"Apr 9, 2024 12:27:07 PM PDT",40.0,301.48,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxytabs9fe5g_29.jpg,AT034685,Grade A+(T),SMX518U,,Gray,"A854D, U854D",Samsung Galaxy Tab S9 Fe
190802,Samsung Cell Phones - Galaxy S21 Ultra 5G - 71 Units - Grade B+(T) - CT0059108A,"$15,175",4 bidders,"Apr 11, 2024 10:38:17 AM PDT",71.0,213.73,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys21ultra_1082.jpg,CT0059108A,Grade B+(T),"SAM GS21U, SAM GS21U 512, SAM GS21U 128",,"SLV, BLK","A948C, J927C, U922C, U927C, A927C, U928C, S927C, J948C, E927C, A928C, J922C",Samsung Galaxy S21 Ultra
190726,"Samsung Cell Phones - Galaxy Z Fold3 5G, 256GB - 25 Units - Grade A+(T) - AT034778","$8,850",6 bidders,"Apr 9, 2024 11:20:08 AM PDT",25.0,354.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxyfold35_998.jpg,AT034778,Grade A+(T),SMF926U,256GB,"black, green, silver","T054D, A053D, E053D, A054D, A040D, E054D, T040D, E040D",Samsung Galaxy Z Fold3
190773,Apple Cell Phones - iPhone 14 - 25 Units - Grade B+(T) - CT0059233A,"$11,001",9 bidders,"Apr 11, 2024 11:01:39 AM PDT",25.0,440.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14_515.jpg,CT0059233A,Grade B+(T),IPH 14,"512GB, 256GB, 128GB","PUR, STL, RED, MDN, BLU, YEL","J489D, U798D, J487D, A488D, A490D, J490D, A799D, E492D, E491D, A495D, E488D, S490D, A487D, A486D, J488D",iPhone 14
190803,Samsung Cell Phones - Galaxy Z Fold5 5G - 21 Units - Grade A+(T) - CT0059272A,"$15,000",6 bidders,"Apr 11, 2024 10:37:34 AM PDT",21.0,714.29,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxyzfold55g_94.jpg,CT0059272A,Grade A+(T),SAM FOLD5,,"BLU, CRM, BLK","J819D, U814D, A815D, E816D, J817D, A819D, J816D, S813D, A817D",Samsung Galaxy Z Fold5
