listing_id,title,sku,grade,units,model,end_time,image_url,manifest_models,manifest_capacities,manifest_colors,manifest_part_numbers
231981,Samsung Cell Phones - Galaxy S24 FE - 37 Units - Grade C(T) - CT0079902A,CT0079902A,C(T),37,,2025-06-19T18:51:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys24fe_89.jpg,SAM S24 FE,,GPH,"U342E, E342E, S342E, J342E, A342E"
231762,Samsung Cell Phones - Galaxy S24 FE - 25 Units - Grade B+(T) - CT0079959A,CT0079959A,B+(T),25,,2025-06-19T18:52:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys24fe_88.jpg,SAM S24 FE,,GPH,"U342E, A342E"
232037,Samsung Cell Phones - Galaxy S24 - 51 Units - Grade C(T) - CT0079879A,CT0079879A,C(T),51,,2025-06-19T18:53:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys24_219.jpg,SAM GS24,,"GRY, YEL, BLK, VIO","A062E, J054E, J055E, J056E, S058E, A052E, S053E, J053E, J052E, A053E, S052E, A055E, J058E, A056E"
231818,Samsung Cell Phones - Galaxy S23 Ultra 5G - 178 Units - Grade C(T) - CT0079777A,CT0079777A,C(T),178,,2025-06-19T18:54:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys23ultra5g_628.jpg,SAM GS23U,,"GRN, CRM, BLK, LVD","A705D, J711D, S710D, A710D, E710D, E705D, J710D, J705D, J707D"
231759,Samsung Cell Phones - Galaxy S23 Ultra 5G - 150 Units - Grade C(T) - CT0079836A,CT0079836A,C(T),150,,2025-06-19T18:55:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys23ultra5g_628.jpg,SAM GS23U,,"GRN, CRM, BLK, LVD","A707D, A705D, A711D, S710D, J711D, A710D, E710D, E707D, E711D, E705D, J710D, J705D, J707D"
231925,Samsung Cell Phones - Galaxy S23 Ultra 5G - 126 Units - Grade B+(T) - CT0079784A,CT0079784A,B+(T),126,,2025-06-19T18:56:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys23ultra5g_629.jpg,SAM GS23U,,"GRN, BLK","U710D, A710D, A705D, S710D"
231933,Samsung Cell Phones - Galaxy S23 Ultra 5G - 126 Units - Grade C(T) - CT0079785A,CT0079785A,C(T),126,,2025-06-19T18:57:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys23ultra5g_630.jpg,SAM GS23U,,"GRN, CRM, BLK, LVD","E706D, A706D, J706D, J708D, J704D, A709D, J709D, E708D, E709D, A704D, S704D, A708D, S709D"
231788,Samsung Cell Phones - Galaxy S23 Ultra 5G - 63 Units - Grade B+(T) - CT0079816A,CT0079816A,B+(T),63,,2025-06-19T18:58:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys23ultra5g_628.jpg,SAM GS23U,,"GRN, BLK, LVD","A706D, J708D, A709D, J709D, A708D"
231763,Samsung Cell Phones - Galaxy S23 Ultra 5G - 25 Units - Grade B+(T) - CT0079954A,CT0079954A,B+(T),25,,2025-06-19T18:59:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys23ultra5g_628.jpg,SAM GS23U,,"GRN, BLK, LVD","A705D, S710D, A711D, A710D, S705D, J710D"
231935,Samsung Cell Phones - Galaxy S23+ 5G - 49 Units - Grade B+(T) - CT0079888A,CT0079888A,B+(T),49,,2025-06-19T19:00:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys23plus5g_416.jpg,SAM GS23P,,"GRN, BLK","A671D, J671D, A674D"
